order_id,customer_id,order_date,product,quantity,unit_price,region,status,channel
O00084,C1141,2025-03-27,Accessory M,5.0,142.04,East,cancelled,mobile
O00085,C1081,2025-01-12,Tool Q,,214.51,West,completed,mobile
O00086,C1084,2025-06-01,Accessory M,1.0,263.51,,completed,partner
O00087,C1019,2025-02-09,Gadget Y,2.0,108.17,West,completed,store
O00088,C1124,2025-03-23,Accessory M,1.0,189.05,South,completed,store
O00089,C1025,2025-01-26,Gadget Y,1.0,211.25,North,completed,web
O00090,C1105,2025-05-16,Tool Z,1.0,59.29,North,completed,partner
O00091,C1059,2025-02-06,Gadget Y,2.0,143.27,North,cancelled,partner
O00092,C1088,2025-04-24,Tool Z,2.0,195.28,West,completed,partner
O00093,C1027,2025-05-04,Widget B,5.0,175.85,,completed,store
O00094,C1144,2025-01-03,Accessory M,1.0,274.07,West,pending,store
O00095,C1048,2025-02-26,Tool Z,2.0,206.54,South,completed,web
O00096,C1033,2025-07-07,Widget A,2.0,104.74,West,completed,mobile
O00097,C1069,2025-05-09,Accessory M,1.0,84.51,West,refunded,store
O00098,C1036,2025-01-20,Accessory M,2.0,259.43,West,refunded,store
O00099,C1116,2025-02-01,Gadget X,2.0,179.51,East,completed,mobile
O00100,C1056,2025-03-25,Tool Q,1.0,194.26,West,cancelled,store
O00101,C1077,2025-01-10,Gadget Y,1.0,38.18,Central,completed,partner
O00102,C1107,2025-05-19,Tool Z,1.0,266.76,North,pending,partner
O00103,C1113,2025-02-25,Gadget Y,2.0,258.07,North,refunded,store
O00104,C1070,2025-04-12,Widget B,1.0,285.2,West,completed,mobile
O00105,C1085,2025-07-21,Widget B,1.0,238.21,South,completed,mobile
O00106,C1037,2025-07-18,Accessory M,1.0,90.4,South,refunded,store
O00107,C1003,2025-02-03,Gadget X,2.0,180.76,North,completed,web
O00108,C1121,2025-01-17,Gadget Y,3.0,158.83,North,completed,mobile
O00109,C1133,2025-06-18,Gadget X,,196.56,North,completed,partner
O00110,C1113,2025-07-02,Widget A,1.0,103.4,South,completed,store
O00111,C1135,2025-04-08,Gadget X,,156.6,West,completed,web
O00112,C1055,2025-07-04,Gadget Y,,267.54,West,completed,partner
O00113,C1065,2025-03-22,Gadget X,1.0,209.17,West,completed,web
O00114,C1033,2025-07-27,Tool Z,1.0,180.06,Central,completed,web
O00115,C1013,2025-04-19,Gadget X,2.0,111.97,Central,completed,mobile
O00116,C1094,2025-05-23,Widget A,2.0,176.48,West,pending,web
O00117,C1046,2025-01-08,Gadget X,2.0,277.24,East,completed,mobile
O00118,C1007,2025-06-12,Widget A,2.0,119.09,West,completed,store
O00119,C1021,2025-06-02,Widget A,1.0,55.64,Central,completed,web
O00120,C1106,2025-04-24,Gadget X,2.0,228.92,North,completed,web
O00121,C1078,2025-06-20,Widget A,2.0,124.62,Central,completed,mobile
O00122,C1074,2025-03-07,Gadget X,1.0,12.23,West,completed,partner
O00123,C1090,2025-06-21,Widget A,5.0,259.9,North,completed,partner
O00124,C1103,2025-05-27,Tool Q,5.0,93.95,West,completed,store
O00125,C1092,2025-06-26,Widget A,5.0,254.89,South,completed,partner
O00126,C1056,2025-03-28,Gadget X,1.0,32.14,North,completed,mobile
O00127,C1037,2025-07-29,Widget B,1.0,52.46,South,completed,mobile
O00128,C1126,2025-07-17,Gadget Y,,207.52,Central,completed,store
O00129,C1120,2025-01-18,Gadget Y,2.0,240.93,Central,completed,web
O00130,C1019,2025-03-15,Tool Q,1.0,188.34,Central,completed,web
O00131,C1121,2025-03-24,Tool Z,1.0,287.73,West,completed,store
O00132,C1063,2025-01-11,Tool Q,,297.38,Central,completed,mobile
O00133,C1086,2025-07-18,Tool Q,1.0,238.87,East,completed,web
O00134,C1038,2025-06-18,Gadget X,1.0,178.98,South,cancelled,store
O00135,C1021,2025-06-02,Gadget X,5.0,196.6,East,pending,web
O00136,C1079,2025-04-03,Widget B,2.0,109.09,West,completed,mobile
O00137,C1138,2025-05-10,Accessory M,1.0,201.95,Central,completed,partner
O00138,C1042,2025-06-09,Tool Q,,22.66,East,completed,mobile
O00139,C1114,2025-07-20,Widget B,2.0,99.74,West,cancelled,mobile
O00140,C1072,2025-04-29,Accessory M,5.0,155.83,West,refunded,mobile
O00141,C1123,2025-06-14,Accessory M,3.0,170.81,North,completed,web
O00142,C1037,2025-05-12,Accessory M,5.0,36.59,South,pending,store
O00143,C1060,2025-04-06,Gadget Y,1.0,118.71,North,completed,web
O00144,C1009,2025-02-05,Gadget X,,,South,pending,partner
O00145,C1055,2025-03-07,Accessory M,1.0,169.14,Central,completed,web
O00146,C1107,2025-03-03,Tool Q,,28.2,West,completed,web
O00147,C1109,2025-03-16,Widget A,3.0,79.75,West,completed,web
O00148,C1129,2025-05-20,Accessory M,1.0,123.22,West,completed,partner
O00149,C1017,2025-07-21,Gadget X,2.0,222.54,North,pending,store
O00150,C1044,2025-06-14,Accessory M,,294.43,West,completed,mobile
O00151,C1051,2025-03-17,Widget A,2.0,266.87,East,cancelled,partner
O00152,C1048,2025-07-12,Gadget X,3.0,260.01,North,cancelled,store
O00153,C1112,2025-04-13,Gadget Y,3.0,292.37,West,completed,store
O00154,C1108,2025-07-06,Widget A,5.0,184.7,South,completed,store
O00155,C1109,2025-04-25,Widget B,,111.94,North,completed,store
O00156,C1014,2025-07-22,Widget A,5.0,115.35,South,refunded,mobile
O00157,C1017,2025-02-02,Widget B,3.0,115.01,Central,completed,mobile
O00158,C1019,2025-07-15,Tool Z,1.0,163.53,West,completed,store
O00159,C1132,2025-05-08,Gadget Y,1.0,85.91,East,completed,mobile
O00160,C1051,2025-05-06,Widget A,1.0,257.31,West,completed,partner
O00161,C1088,2025-03-23,Tool Q,1.0,169.49,East,cancelled,mobile
O00162,C1092,2025-07-23,Tool Z,2.0,45.19,South,pending,mobile
O00163,C1119,2025-04-05,Accessory M,1.0,187.46,North,completed,partner
O00164,C1104,2025-07-16,Accessory M,1.0,46.33,East,completed,partner
O00165,C1141,2025-07-19,Tool Q,1.0,232.65,South,completed,web
O00166,C1082,2025-02-11,Tool Q,2.0,110.34,Central,cancelled,web
O00167,C1077,2025-02-02,Tool Z,1.0,155.74,South,completed,mobile
O00168,C1144,2025-03-28,Widget A,1.0,33.54,Central,completed,mobile
O00169,C1139,2025-05-08,Gadget X,2.0,150.04,West,completed,web
O00170,C1052,2025-04-29,Gadget X,1.0,100.64,East,completed,store
O00171,C1027,2025-05-24,Gadget X,2.0,145.27,East,completed,mobile
O00172,C1107,2025-06-07,Widget B,1.0,245.9,Central,completed,mobile
O00173,C1078,2025-05-08,Gadget Y,1.0,36.1,West,completed,mobile
O00174,C1120,2025-05-07,Gadget X,1.0,255.67,West,completed,store
O00175,C1013,2025-04-13,Tool Z,2.0,115.12,East,completed,partner
O00176,C1030,2025-06-24,Widget B,1.0,124.22,East,completed,store
O00177,C1010,2025-05-09,Widget A,1.0,49.73,East,pending,partner
O00178,C1081,2025-06-06,Widget B,5.0,297.27,East,completed,partner
O00179,C1084,2025-04-05,Tool Q,1.0,294.16,Central,completed,web
O00180,C1148,2025-07-18,Tool Z,2.0,219.2,Central,completed,partner
O00181,C1028,2025-06-29,Widget B,1.0,137.89,West,completed,mobile
O00182,C1015,2025-07-08,Tool Q,1.0,160.41,Central,completed,partner
O00183,C1087,2025-05-17,Tool Z,3.0,205.99,East,completed,mobile
O00184,C1073,2025-03-18,Tool Q,2.0,210.16,West,completed,store
O00185,C1031,2025-03-15,Tool Z,5.0,269.76,West,pending,mobile
O00186,C1113,2025-03-30,Tool Q,2.0,226.72,South,completed,store
O00187,C1150,2025-06-07,Widget B,2.0,24.71,Central,completed,mobile
O00188,C1035,2025-01-26,Widget A,1.0,127.99,West,completed,mobile
O00189,C1022,2025-01-16,Tool Q,2.0,165.18,North,cancelled,mobile
O00190,C1101,2025-01-10,Accessory M,,64.02,East,cancelled,web
O00191,C1072,2025-03-27,Gadget Y,,267.88,South,cancelled,partner
O00192,C1117,2025-07-07,Tool Q,2.0,218.38,North,completed,store
O00193,C1103,2025-06-13,Accessory M,5.0,159.42,North,completed,web
O00194,C1001,2025-03-05,Gadget X,5.0,78.29,East,refunded,store
O00195,C1060,2025-04-03,Widget A,1.0,144.95,South,completed,store
O00196,C1056,2025-04-05,Widget B,1.0,148.66,West,completed,store
O00197,C1055,2025-05-18,Accessory M,2.0,207.29,Central,cancelled,web
O00198,C1028,2025-05-25,Widget A,2.0,176.07,South,completed,partner
O00199,C1130,2025-01-24,Gadget Y,1.0,141.49,Central,completed,web
O00200,C1101,2025-01-06,Gadget X,1.0,226.27,Central,completed,partner
O00201,C1120,2025-01-18,Widget A,2.0,128.56,South,pending,partner
O00202,C1096,2025-04-07,Widget A,1.0,199.51,East,completed,partner
O00203,C1005,2025-01-01,Gadget X,,205.3,Central,completed,partner
O00204,C1048,2025-03-12,Tool Q,1.0,19.33,West,completed,web
O00205,C1012,2025-04-25,Widget B,1.0,126.65,South,completed,web
O00206,C1147,2025-07-07,Gadget X,3.0,78.69,South,refunded,mobile
O00207,C1044,2025-06-01,Tool Q,5.0,171.19,North,refunded,partner
O00208,C1076,2025-02-08,Gadget Y,1.0,228.77,West,completed,mobile
O00209,C1143,2025-01-15,Gadget Y,5.0,171.6,South,completed,store
O00210,C1023,2025-04-05,Tool Z,2.0,24.94,West,completed,web
O00211,C1143,2025-07-05,Widget B,,70.57,East,completed,web
O00212,C1122,2025-07-11,Widget B,2.0,125.01,South,completed,store
O00213,C1092,2025-03-08,Tool Z,,145.13,West,pending,store
O00214,C1056,2025-05-25,Tool Q,1.0,14.69,Central,cancelled,partner
O00215,C1062,2025-05-26,Gadget Y,3.0,84.61,West,refunded,partner
O00216,C1139,2025-02-05,Gadget Y,1.0,275.89,Central,refunded,web
O00217,C1012,2025-07-29,Accessory M,1.0,129.58,,completed,mobile
O00218,C1123,2025-06-08,Tool Q,,14.55,,completed,web
O00219,C1004,2025-03-15,Tool Z,5.0,243.78,South,completed,web
O00220,C1090,2025-03-06,Gadget X,5.0,32.91,West,completed,mobile
O00221,C1008,2025-01-21,Widget A,5.0,119.98,Central,completed,web
O00222,C1084,2025-06-15,Tool Z,1.0,269.48,North,completed,partner
O00223,C1139,2025-03-13,Tool Z,1.0,62.0,East,completed,mobile
O00224,C1019,2025-04-12,Gadget X,1.0,173.54,Central,pending,partner
O00225,C1035,2025-07-09,Accessory M,1.0,155.22,East,completed,partner
O00226,C1101,2025-06-07,Accessory M,3.0,18.58,East,pending,partner
O00227,C1047,2025-04-21,Tool Q,5.0,34.84,Central,completed,mobile
O00228,C1039,2025-07-02,Tool Q,5.0,101.83,North,completed,store
O00229,C1047,2025-01-23,Gadget Y,,171.52,Central,completed,web
O00230,C1083,2025-07-20,Accessory M,5.0,13.57,West,completed,web
O00231,C1146,2025-03-04,Tool Z,1.0,208.73,South,completed,store
O00232,C1107,2025-03-12,Gadget X,,236.96,East,completed,mobile
O00233,C1027,2025-04-28,Widget B,2.0,11.95,West,completed,partner
O00234,C1034,2025-07-28,Gadget X,3.0,184.92,South,completed,mobile
O00235,C1125,2025-06-27,Tool Z,2.0,104.5,East,pending,partner
O00236,C1046,2025-05-20,Tool Q,1.0,286.36,West,cancelled,mobile
O00237,C1104,2025-07-29,Tool Q,,50.35,East,completed,mobile
O00238,C1122,2025-06-03,Tool Z,5.0,164.96,West,completed,store
O00239,C1027,2025-01-22,Accessory M,2.0,200.69,East,completed,web
O00240,C1084,2025-07-12,Accessory M,5.0,40.71,North,completed,mobile
O00241,C1128,2025-05-31,Widget B,3.0,299.32,West,completed,partner
O00242,C1036,2025-07-06,Gadget X,2.0,109.48,South,completed,store
O00243,C1017,2025-03-23,Gadget X,1.0,244.94,North,completed,store
O00244,C1062,2025-07-09,Tool Z,1.0,170.04,East,completed,partner
O00245,C1110,2025-06-13,Gadget Y,1.0,223.83,South,completed,partner
O00246,C1016,2025-07-12,Tool Z,1.0,241.85,Central,completed,store
O00247,C1135,2025-05-06,Tool Q,3.0,183.11,Central,completed,web
O00248,C1076,2025-07-28,Tool Z,1.0,204.9,East,completed,store
O00249,C1107,2025-04-10,Tool Z,1.0,176.68,West,completed,mobile
O00250,C1115,2025-03-22,Tool Z,1.0,260.99,North,completed,mobile
O00251,C1104,2025-05-07,Tool Q,,130.52,West,completed,web
O00252,C1070,2025-01-09,Widget B,2.0,58.77,West,completed,partner
O00253,C1139,2025-07-18,Accessory M,3.0,167.18,North,pending,partner
O00254,C1063,2025-06-17,Gadget X,1.0,140.41,East,cancelled,web
O00255,C1053,2025-03-02,Accessory M,3.0,259.69,Central,completed,mobile
O00256,C1015,2025-07-26,Tool Z,3.0,164.35,Central,completed,store
O00257,C1024,2025-05-12,Widget B,5.0,276.43,East,cancelled,mobile
O00258,C1063,2025-03-24,Accessory M,5.0,151.93,Central,completed,partner
O00259,C1023,2025-07-16,Gadget Y,2.0,,East,completed,partner
O00260,C1023,2025-07-07,Tool Q,,194.09,East,cancelled,partner
O00261,C1082,2025-03-10,Accessory M,2.0,107.94,Central,completed,partner
O00262,C1025,2025-01-12,Tool Q,,14.71,South,completed,web
O00263,C1077,2025-02-03,Widget B,2.0,37.06,East,completed,store
O00264,C1078,2025-06-10,Tool Q,2.0,134.47,North,completed,web
O00265,C1113,2025-05-13,Widget A,1.0,211.71,North,refunded,partner
O00266,C1026,2025-01-23,Widget A,3.0,116.58,East,completed,mobile
O00267,C1002,2025-05-25,Tool Z,1.0,137.62,South,completed,mobile
O00268,C1022,2025-02-25,Widget A,1.0,228.2,Central,completed,store
O00269,C1021,2025-03-12,Widget B,2.0,235.89,North,pending,store
O00270,C1075,2025-04-11,Tool Q,1.0,237.29,South,completed,web
O00271,C1092,2025-01-04,Gadget X,1.0,122.17,Central,completed,mobile
O00272,C1150,2025-01-05,Widget A,1.0,86.02,North,cancelled,partner
O00273,C1108,2025-04-17,Tool Q,5.0,33.89,Central,completed,mobile
O00274,C1039,2025-02-22,Tool Z,3.0,123.3,North,completed,partner
O00275,C1111,2025-01-23,Widget A,,187.56,North,completed,mobile
O00276,C1127,2025-02-11,Gadget X,2.0,58.41,South,completed,store
O00277,C1109,2025-03-27,Gadget X,1.0,86.25,Central,completed,partner
O00278,C1042,2025-05-26,Gadget X,1.0,83.97,North,cancelled,web
O00279,C1062,2025-01-04,Widget A,,115.54,South,completed,web
O00280,C1057,2025-04-18,Gadget X,2.0,130.7,East,completed,web
O00281,C1045,2025-01-14,Widget B,1.0,286.67,North,cancelled,store
O00282,C1002,2025-04-27,Gadget X,2.0,94.55,East,completed,mobile
O00283,C1050,,Tool Q,2.0,53.65,West,completed,store
O00284,C1000,2025-03-27,Accessory M,5.0,256.2,East,completed,mobile
O00285,C1071,2025-02-06,Widget A,1.0,277.16,Central,completed,store
O00286,C1034,2025-05-10,Tool Q,5.0,31.69,Central,completed,mobile
O00287,C1100,2025-07-25,Tool Q,3.0,102.23,East,completed,mobile
O00288,C1042,2025-01-28,Gadget Y,,101.06,North,completed,mobile
O00289,C1040,2025-01-24,Accessory M,2.0,249.64,Central,completed,store
O00290,C1131,2025-04-12,Widget A,2.0,85.44,South,completed,partner
O00291,C1118,2025-01-25,Widget A,1.0,45.21,North,pending,mobile
O00292,C1021,2025-06-11,Tool Z,2.0,276.04,North,completed,web
O00293,C1084,2025-01-24,Widget A,1.0,283.25,North,completed,partner
O00294,C1109,2025-06-24,Widget B,3.0,72.26,South,completed,partner
O00295,C1075,2025-03-04,Gadget Y,5.0,266.0,West,completed,store
O00296,C1134,2025-07-24,Widget B,1.0,296.92,East,completed,partner
O00297,C1046,2025-03-11,Widget A,3.0,183.15,North,cancelled,store
O00298,C1149,2025-07-16,Widget B,1.0,39.03,South,completed,web
O00299,C1099,2025-07-24,Gadget X,1.0,61.06,Central,completed,store
O00300,C1144,2025-05-26,Widget B,2.0,252.63,West,completed,mobile
O00301,C1005,2025-02-26,Tool Z,,10.19,Central,completed,mobile
O00302,C1015,2025-03-24,Widget A,1.0,180.11,South,pending,store
O00303,C1150,2025-04-12,Widget A,3.0,97.5,South,refunded,partner
O00304,C1143,2025-02-14,Tool Q,3.0,74.73,Central,pending,partner
O00305,C1000,2025-07-06,Tool Q,5.0,256.71,Central,completed,store
O00306,C1026,2025-05-25,Gadget Y,1.0,106.03,North,completed,store
O00307,C1085,,Gadget Y,1.0,86.9,South,completed,store
O00308,C1112,2025-04-09,Tool Q,5.0,291.03,West,completed,partner
O00309,C1147,2025-07-21,Tool Q,2.0,57.16,North,pending,web
O00310,C1087,2025-01-19,Widget B,5.0,56.65,North,completed,web
O00311,C1007,2025-06-30,Gadget Y,1.0,186.11,West,completed,web
O00312,C1138,2025-05-22,Gadget X,2.0,96.24,North,completed,partner
O00313,C1122,2025-03-17,Widget B,1.0,17.45,South,completed,web
O00314,C1125,2025-05-01,Tool Q,2.0,36.42,Central,completed,store
O00315,C1112,2025-03-09,Gadget Y,2.0,75.6,East,completed,mobile
O00316,C1138,2025-03-30,Gadget Y,2.0,170.53,West,pending,partner
O00317,C1060,2025-05-27,Gadget Y,2.0,32.89,North,completed,mobile
O00318,C1054,2025-02-12,Accessory M,2.0,46.58,West,completed,partner
O00319,C1066,2025-06-02,Gadget X,1.0,35.23,Central,completed,store
O00320,C1150,2025-01-04,Tool Z,5.0,42.62,South,completed,web
O00321,C1137,2025-03-15,Gadget X,5.0,86.59,West,completed,partner
O00322,C1102,2025-06-05,Widget A,5.0,267.97,East,completed,web
O00323,C1086,2025-01-06,Accessory M,2.0,100.17,West,cancelled,web
O00324,C1113,2025-07-10,Accessory M,3.0,88.12,West,completed,web
O00325,C1124,2025-07-09,Accessory M,3.0,248.09,Central,pending,web
O00326,C1145,2025-05-15,Widget A,1.0,65.89,South,pending,mobile
O00327,C1070,2025-02-20,Gadget X,,156.48,North,completed,mobile
O00328,C1150,2025-05-02,Tool Z,3.0,109.82,East,completed,web
O00329,C1054,2025-05-27,Accessory M,2.0,197.73,South,completed,partner
O00330,C1002,2025-06-24,Gadget Y,1.0,197.73,Central,pending,mobile
O00331,C1070,2025-07-01,Gadget Y,5.0,256.95,West,completed,partner
O00332,C1026,2025-05-30,Widget A,3.0,172.81,Central,completed,store
O00333,C1083,2025-03-12,Accessory M,2.0,85.72,East,completed,mobile
O00334,C1103,2025-06-03,Tool Q,3.0,207.41,North,completed,store
O00335,C1149,2025-01-10,Tool Q,2.0,109.51,South,completed,partner
O00336,C1142,2025-02-13,Widget B,2.0,38.29,South,completed,mobile
O00337,C1090,2025-02-26,Widget B,2.0,131.93,East,completed,store
O00338,C1149,2025-06-12,Tool Z,1.0,146.93,South,completed,partner
O00339,C1035,2025-02-08,Widget B,3.0,128.66,Central,cancelled,partner
O00340,C1124,2025-01-21,Gadget X,1.0,100.88,North,completed,store
O00341,C1125,,Accessory M,1.0,47.52,West,completed,partner
O00342,C1051,2025-05-17,Tool Q,3.0,,,pending,mobile
O00343,C1088,2025-02-27,Gadget X,1.0,39.78,Central,completed,mobile
O00344,C1133,2025-04-27,Tool Z,3.0,135.75,South,completed,partner
O00345,C1103,2025-07-27,Widget A,2.0,75.04,South,completed,web
O00346,C1009,2025-06-16,Gadget Y,2.0,233.65,Central,completed,web
O00347,C1029,,Gadget Y,,120.26,Central,completed,mobile
O00348,C1025,2025-04-18,Tool Q,2.0,190.6,South,completed,web
O00349,C1027,2025-07-20,Gadget Y,2.0,186.6,East,pending,mobile
O00350,C1127,2025-05-21,Widget B,,105.87,North,completed,web
O00351,C1023,2025-02-08,Accessory M,1.0,219.82,North,cancelled,mobile
O00352,C1025,2025-01-13,Accessory M,1.0,263.49,East,completed,store
O00353,C1002,2025-01-12,Accessory M,1.0,202.36,South,completed,partner
O00354,C1087,2025-04-06,Widget B,1.0,126.22,West,completed,partner
O00355,C1042,2025-07-24,Widget A,1.0,211.88,North,refunded,mobile
O00356,C1112,2025-05-26,Widget B,5.0,235.95,Central,completed,mobile
O00357,C1011,2025-04-23,Widget A,2.0,199.93,North,completed,mobile
O00358,C1024,2025-05-14,Gadget Y,2.0,149.75,,completed,web
O00359,C1126,2025-05-01,Accessory M,1.0,31.7,West,completed,store
O00360,C1096,2025-06-14,Gadget Y,2.0,32.85,West,pending,partner
O00361,C1004,2025-05-08,Widget A,5.0,129.57,Central,completed,web
O00362,C1143,2025-05-11,Widget B,,285.59,East,pending,mobile
O00363,C1121,2025-06-03,Tool Q,3.0,217.6,,completed,mobile
O00364,C1074,2025-07-24,Tool Z,3.0,213.6,North,cancelled,partner
O00365,C1065,2025-01-28,Tool Z,2.0,64.38,West,completed,mobile
O00366,C1150,2025-06-12,Widget A,,,Central,refunded,mobile
O00367,C1110,2025-05-22,Accessory M,,278.06,South,completed,mobile
O00368,C1082,2025-06-03,Tool Z,5.0,131.4,Central,cancelled,mobile
O00369,C1034,2025-04-26,Widget B,5.0,184.72,Central,completed,store
O00370,C1053,2025-02-21,Tool Z,2.0,209.11,South,refunded,mobile
O00371,C1090,,Tool Z,,179.0,West,completed,store
O00372,C1006,2025-01-28,Gadget Y,1.0,25.38,North,completed,mobile
O00373,C1075,2025-01-16,Widget B,1.0,114.01,West,completed,mobile
O00374,C1073,2025-07-20,Tool Q,1.0,278.67,West,completed,store
O00375,C1113,2025-02-21,Accessory M,2.0,274.32,East,pending,mobile
O00376,C1019,2025-02-15,Widget B,1.0,223.16,North,completed,partner
O00377,C1001,2025-03-07,Gadget X,,215.8,South,completed,store
O00378,C1077,2025-06-19,Gadget Y,3.0,31.13,East,completed,mobile
O00379,C1137,2025-05-20,Gadget Y,1.0,111.32,South,completed,store
O00380,C1121,2025-05-16,Tool Z,1.0,43.26,East,completed,mobile
